name,ingredients,instructions,cuisine,course,diet,region,tier,total_time_mins,servings,url
South Indian Onion Chutney Recipe - South Indian Onion Chutney (Recipe),"2 onions, 1 teaspoon cumin seeds, 2 tablespoons black urad dal (split), 1 tablespoon tamarind paste, 3 dry red chillies, 1/2 teaspoon jaggery, 2 teaspoons oil, salt - 1 teaspoon, as per taste Rye, 1 sprig curry leaves, 1/2 teaspoon oil","To make South Indian Onion Chutney, first of all chop the onion and keep it aside. Now heat 1 teaspoon of oil in the pan. Add cumin seeds, dry red chillies and let it cook for 10 seconds. Now add urad dal in it and let it cook till it becomes golden. Turn off the gas and drain in a bowl. Add another spoon of oil to the same pan. Add onions and let it cook for 4 to 5 minutes. Turn off the gas and let it cool down. Now put urad dal, cumin and dry red chillies in the mixer grinder and grind them. Add cooked onions, tamarind and jaggery. Add some water and grind it. Now for the tempering, heat the oil in a small pan. Add mustard seeds and curry leaves. After 10 seconds, add it to the chutney and mix. Serve South Indian onion chutney with masala dosa or ghee dosa for a tsunag breakfast.",South Indian Recipes,Side Dish,Vegetarian,other,2,40,4,http://www.archanaskitchen.com/south-indian-onion-chutney-recipe-in-hindi
Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,"2 cups curd, 1 cup gourd - peel and tighten, 1 cucumber - peel and grind, 1 green - finely chopped, 1 green coriander - little, 1/2 teaspoon cumin powder, salt - as per taste","To prepare gourd raita, prepare all the ingredients first. Add grated gourd, cucumber, curd, green chillies, salt, cumin powder and coriander in a large bowl. Mix well and your raita is ready. Serve gourd raita with Garlic Dal, gourd elder greens and phulka for dinner.",Indian,Side Dish,Vegetarian,other,2,30,4,http://www.archanaskitchen.com/grated-bottle-gourd-yogurt-salad-recipe-in-hindi
Chettinad Vegetable Casserole Recipe - Chettinad Vegetable Pulao Recipe,"1 cup rice - wash well in water, 12 small onions - finely chopped, 2 cloves garlic - tighten, 1 inch ginger - tighten, 2 green chillies - straight and thin cut, 1 bay leaf - break , 1 tsp red chilli powder, 1 tsp turmeric powder, 1 carrot - chop, 12 green beans - chop, 2 potatoes - peel and chop, ghee - as per use, 2 cloves, 1 inch cinnamon, 1 tsp fennel , 1 tsp whole pepper, 1 tsp coriander seeds, 1/4 cup green peas - steam, 1/4 cup mint leaves - finely chopped","To make Chettinad vegetable casserole, first cut all the vegetables. Soak rice for 30 minutes. Heat a pan on gas. Add long, cinnamon, fennel, whole black pepper, coriander seeds, and roast for 2 to 3 minutes. Turn off the gas and allow this spice mixture to cool. After it cools down, put it in a blender and grind it. Keep it aside. Now heat ghee in a pan. Add ginger, garlic, onion, green chilies and cook till the onion becomes soft. After the onion becomes soft, add carrots, green beans, potatoes, bay leaves, turmeric powder, red chilli powder, ground spices and mix well. After 2 minutes, add rice, salt, 2 cups of water and let it boil. After boiling, reduce the heat, cover the pan and cook until the rice is cooked. If the rice remains raw, then add some more water and cook it. After cooking, turn off the gas, cover and keep it aside for 10 minutes. Serve. Serve Chettinad Vegetable Casserole Recipe along with Bundi Raita and Baked Papad for dinner.",Chettinad,Dinner,Vegetarian,other,2,60,4,https://www.archanaskitchen.com/chettinad-vegetable-pulao-recipe-with-kohinoor-silver-basmati-rice-in-hindi
Garlic Amla Chutney Recipe - Lehsun Amla Chutney Recipe,"8 amla, 6 small onions, 10 bud garlic, 2 green chillies, 1/2 cup mint, 1/2 cup coriander, salt - as per taste, 1 tsp oil, 1 tsp oil, 1/2 tsp rye, 1/4 tsp urad dal, 1/4 tsp chana dal, 1 sprig curry leaves, 10 cashew nuts","To make Garlic Amla Chutney Recipe, first wash the amla, cut and remove the seeds. Now wash the mint, green coriander and keep it aside. Now heat oil in a pan. Add small onion, garlic and cook the onion after it becomes soft. Now add amla, mint, green coriander and cook it for 2 minutes. Turn off the gas. Allow this mixture to cool. Pour this mixture in the mixer grinder with salt, a little water and make a paste. Keep it separately. For tempering, now heat oil in a tempering pan. Add the mustard seeds, chana dal, urad dal, curry leaves, cashews and cook until cashew is light brown. Add this tempering to the chutney and mix. Mix well and serve. Serve Garlic Amla Chutney Recipe with Ghee Roast Dosa and Filter Coffee for breakfast.",Tamil Nadu,Side Dish,Vegetarian,other,2,15,3,http://www.archanaskitchen.com/lehsun-amla-chutney-recipe-garlic-gooseberry-chutney-in-hindi
Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread,"1/2 cup Gram flour (besan),1/2 cup Whole Wheat Flour,1/4 cup Rice flour,1 Cucumber - peeled and grated,1 teaspoon Turmeric powder (Haldi),1 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,2 Green Chillies - finely chopped,1/2 cup Coriander (Dhania) Leaves - chopped,5 cloves Garlic - finely chopped,Salt - to taste,Ghee - for smearing on thalipeeth","To begin making the Maharashtrian Kakdi Thalipeeth Recipe, in a large mixing bowl add all the 3 flours together and mix them. Add all the remaining ingredients like the grated cucumber, turmeric powder, cumin powder, coriander powder, red chili powder, green chillies, coriander leaves, garlic and salt to taste.Mix everything well and add a little water at a time to make a smooth and firm dough of the Kakdi Thalipeeth. The cucumber will release water when it gets combined with salt, so take care to add little water at a time. The dough will be slightly sticky to handle. Allow the dough to rest for 5 minutes. Divide the dough into 4 portions. Preheat the skillet on medium heat. Keep water in a separate bowl to wet fingers and to wet a muslin cloth.Spread a wet muslin cloth on a smooth counter top. Take a portion of the Kakdi Thalipeeth mixture and pat it on the wet cloth to about 4 inches in diameter. Try not to make it too thin as it can break while flipping it on the skillet.Carefully lift the cloth along with the patted mixture and flip the Thalipeeth over on the skillet. Drizzle a teaspoon of oil or ghee around the Thalipeeth and cook on medium heat.After about 3 minutes, you will be able to flip the Kakdi Thalipeeth over to the other side. Allow each side to cook on medium heat for about 3-4 minutes, until the Thalipeeth are slightly crisp and browned. Remove from heat and place on a serving platter.Continue the same procedure with the other portions of the Kakdi Thalipeeth dough.Serve the Maharashtrian Kakdi Thalipeeth along with Homemade Yogurt or lahsun chutney for breakfast.",Maharashtrian Recipes,Indian Breakfast,Diabetic Friendly,other,2,60,4,http://www.archanaskitchen.com/maharashtrian-kakdi-thalipeeth-recipe-spiced-cucumber-flat-bread
South Indian Style Murungakkai Poriyal Recipe - Drumstick Stir Fry,"5 Drumstick - cut into 3 inch pieces,1/2 cup Fresh coconut - grated,2 Green Chillies - slit,1 sprig Curry leaves,1 teaspoon Mustard seeds,2 teaspoons Coconut Oil,2 Dry Red Chillies,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,Water - as needed","To begin making Murungakkai Poriyal Recipe, wash the drumsticks well & peel them by removing the tough green part. Cut them in 2 inches length.Take about glass of water in a kadhi, bring it to a boil, add these drumsticks with salt, turmeric powder (optional) & lightly steam them for 5-8 minutes. Be careful not to overcook the drumsticks. It should be tender but not mushy as in sambar or avial.Drain the water, keep the steamed drumsticks aside to cool slightly.Grate the coconut, add the green chillies & grind them well in a mixer.In the kadai, add coconut oil, once hot, add the mustard seeds, let it crackle.Then add the dry red chillies, curry leaves & add the steamed drumsticks.Mix everything well & let it cook for a minute. Add the grated coconut & give it one last stir.Serve Murungakkai Poriyal Recipe along with Kerala Avial Recipe, Steamed Rice Recipe and Malabar Style Dates Pickle Recipe for a complete meal.",South Indian Recipes,Side Dish,Vegetarian,other,2,45,4,http://www.archanaskitchen.com/murungakkai-poriyal-recipe-south-indian-style-drumstick-stir-fry
Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,"3/4 cup Mango Pulp (Puree),1 cup Curd (Dahi / Yogurt) - (low fat),1 tablespoon Sugar - or honey,2 pinch Saffron strands,3 tablespoons Badam (Almond) - roughly chopped,3 tablespoons Milk - luke warm+more cold milk as needed,Ice cubes - a few","To begin making Kesar Mango Lassi Recipe, soak one pinch kesar in 2 tablespoons warm milk and keep it aside for few minutes.Get prep with other ingredients as well. Take out the pulp from the mangoes and keep aside.In a blender, add mango pulp, curd/yogurt, cold milk and blend till combined.Once it is done, add chopped almonds (2 tablespoons), honey or sugar, some ice cubes and blend to make the Kesar Mango Lassi Recipe.Kesar Mango Lassi Recipe is ready to serve, garnish it with the rest of chopped almonds and saffron and serve with Bhel Puri Recipe or Asian Watermelon Salad Recipe during evening.",Indian,Snack,Vegetarian,Punjabi,1,25,2,https://www.archanaskitchen.com/mango-saffron-lassi-recipe
Chettinad Sweet Paniyaram Recipe - Chettinad Sweet Paniyaram Recipe,"1 cup idli dosa mixture, 4 tablespoons rice rava, 1/3 cup jaggery, 3 tablespoons coconut - grated, 1 tablespoon of cardamom powder, salt - as per taste, water - as per use, oil - as per use","To make the Chettinad sweet paniyaram recipe, firstly mix and mix idli dosa mixture, rice rava, jaggery, coconut, salt, elaichi powder, some water in a mixing bowl. Keep aside for 5 minutes and mix again. Heat the paniyaram pan and add some oil to each hole. After heating, add the mixture to it and cover it. Cook on low heat. Once cooked from one side, flip it and cook from the other side. Cook on both sides until golden. Remove from pan and serve. Serve the Chettinad Sweet Paniyaram Recipe with Masala Tea or Filter Coffee for an evening snack.",Chettinad,Snack,Vegetarian,other,2,25,10,http://www.archanaskitchen.com/chettinad-sweet-paniyaram-recipe-in-hindi
Mini Dal Samosa Curry / Sabzi Recipe,"3 Cardamom (Elaichi) Pods/Seeds,6 Whole Black Peppercorns,1/2 inch Cinnamon Stick (Dalchini),3 cloves Cloves (Laung),1 Mace (Javitri),1 Bay leaf (tej patta),1 Black cardamom (Badi Elaichi),1/2 teaspoon Kasuri Methi (Dried Fenugreek Leaves),1/2 teaspoon Kashmiri Red Chilli Powder,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1/2 teaspoon Garam masala powder,6 Samosas - mini,15 Cashew nuts,1 Green Chilli,1 Onion - roughly chopped,2 Tomato - roughly chopped,1/2 inch Ginger,1/2 teaspoon Sugar,1 tablespoon Fresh cream,2 tablespoons Sunflower Oil","To begin making the Mini Dal Samosa Gravy Recipe, we need to first prepare the gravy. In a heavy bottomed pan, add 1 tablespoon of cooking oil and heat it on a medium flame. Once the oil is hot, add Cardamom, Black Pepper, Cloves, Cinnamon, Javitri and saute for few seconds. Next add cashew nuts, green chilli, ginger, chopped onion and tomatoes. Mix well and add 1/2 cup water and Salt (as per your taste)Cover the pan and boil this mixture until the onions and tomato become soft. Turn off the flame and let this mixture cool. Once the mixture is cool, add it to a mixer and blend until smooth. Strain the paste to remove any big chunk of ingredients (optional to give fineness to gravy). Keep aside. In the same heavy bottomed pan, heat one tablespoons of oil and add bay leaf, black cardamom. Once the spices release the aromas add in the ground tomato and onion mixture, add Kashmiri Red Chilli powder, Turmeric powder, Coriander powder, Garam Masala and the crushed Kasuri Methi.Mix well and cook for 10 mins at low flame. Add fresh cream and sugar and stir it well into the gravy. Simmer for a few more minutes and add the mini Samosas in the gravy. Turn off the flame.Make sure to add the mini dal samosas to the gravy only one hour before serving, else the samosa will get completely soggy. To make mini dal samosas at home follow Moong Dal Mini Samosas.Serve Mini Dal Samosa Curry Recipe along with hot Phulka, Tawa Paratha or Jeera Rice and Kachumber Salad Recipe With Cucumber, Onion & Tomatoes for a sumptuous Sunday meal",North Indian Recipes,Lunch,Vegetarian,other,2,35,3,http://www.archanaskitchen.com/mini-dal-samosa-curry-recipe
Mini Dal Mature Chat Recipe - That Perfect Party Snack,"1 cup Whole Wheat Flour,1 cup All Purpose Flour (Maida),1 teaspoon Ajwain (Carom seeds),1 teaspoon Cumin seeds (Jeera),2 tablespoons Ghee,Salt - as needed,Sunflower Oil - for deep frying,1 cup Chana dal (Bengal Gram Dal),1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Garam masala powder,1/4 teaspoon Red Chilli powder,1 teaspoon Amchur (Dry Mango Powder),1/2 teaspoon Sugar,Salt - as needed,1 tablespoon Ghee,1/4 teaspoon Asafoetida (hing),1 teaspoon Cumin seeds (Jeera),2 Green Chillies - slit,1 sprig Curry leaves,1/4 cup Sweet Chutney (Date & Tamarind),1/4 cup Green Chutney (Coriander & Mint),1 Onion - finely chopped,1/2 cup Fresh Pomegranate Fruit Kernels,1/4 cup Sev","To begin making the Dal Pakwan Chaat, we will first make the Pakwan and keep it ready.Sift both the flours together. Add ajwain, cumin, salt and ghee and mix all together into the flour. Knead the flour into a smooth dough adding water little at a time. Preheat the oil for deep frying.Divide the Pakwan dough into equal lemon size portions.Dust the surface with flour and roll the pakwan dough into a small disc.Use a fork and mark impressions on the rolled pakwan. Pierce from both sides, this will prevent the pakwan from puffing up.Place the pakwans into the preheated oil and deep fry on low to medium heat until golden brown and crisp on both sides. Transfer the fried pakwan on a kitchen paper towels to drain the excess oil and store in airtight containers.Next step is to make the Dal for the Pakwan Chaat. Wash and soak chana dal in water overnight or for at least 4 hours.Once soaked, drain the water and cook the chana dal in 2 cups of water in the pressure cooker for a couple of whistles along with salt, sugar, turmeric powder, garam masala and amchur powder.After a 4 to 5 whistles, turn the heat to low and simmer for another 5 minutes and turn off the heat. Allow the pressure to release naturally. The grains of the chana dal should be soft and yet separate.Open the lid once the pressure releases completely.In a small tadka pan, heat ghee over medium heat. Add the cumin and green chilies.Saute for a few seconds, add the curry leaves and asafoetida and turn off the heat.Pour the seasoning over the Sindhi Chana Dal and give it a stir.To make the Mini Dal Pakwan ChaatWhen you are ready to serve, place the Pakwan (the crisp puri) on serving platters. Spoon a small portion of the dal over each of the pakwan (crisp puri).Drizzle some date chutney and green chutney and finally top with with some chopped onions and pomegranates, sev and serve.These Mini Dal Pakwan Chaat make great appetizers at parties, you can even serve it this was for a delicious weekend breakfast as well.Serve these Mini Dal Pakwan Chaat as an evening snack or as an appetizer for parties along with Pav Bhaji, Dahi Vada, Pani Puri and finally end it with a Paneer Kheer as a dessert.",Sindhi,Appetizer,Vegetarian,other,2,65,30,https://www.archanaskitchen.com/mini-dal-pakwan-chaat-recipe-a-perfect-party-snack
Sundakkai and Methi Leaves Sambar Recipe - Sundkai Methi Sambar Recipe,"1/2 cup Sundkai, 1/4 cup fenugreek, 1/2 cup Arhar dal - boiled and mashed, 1/2 Tomato, 1 Tamarind, 1/2 tsp Turmeric Powder, 2 tsp Sambar Powder, 1 tsp Coriander Powder, 1/2 teaspoon mustard, 1/4 teaspoon cumin seeds, 1 dry red chili, 1/4 teaspoon asafoetida, oil - as per use, salt - as per taste, curry leaves - little, green coriander - little, water - According to use","To make the Sundakai Methi Sambar recipe, first take out the stem of the Sundakai and cut it. Clean and wash the fenugreek and keep it separately. Mix tamarind with water in a bowl. Now heat oil in a pan. Add asafetida to it and cook it for 10 seconds. After 10 seconds, add mustard seeds, cumin seeds, dry red chilies and cook till the mustard seeds crackle. Now add the sundkai and cook for 3 to 4 minutes. Add curry leaves and mix. Now add fenugreek and cook till the fenugreek becomes soft. After cooking, add tomatoes, turmeric powder, sambar powder, coriander powder, salt, mix and cook for 1 minute. After 1 minute add tamarind water, remaining water and let it boil. After boiling for 8 to 10 minutes, add the dal to it and mix. Cook until the sambar becomes thick and then garnish with green coriander. Serve Sundkai Methi Sambar Recipe along with rice, beetroot thoran and papad for dinner.",South Indian Recipes,Lunch,Diabetic Friendly,other,2,65,4,https://www.archanaskitchen.com/sundakkai-and-methi-leaves-sambar-recipe-in-hindi
